,fname_1,fname_2,fname_3,fname_4,fname_5,fname_6,fname_7,fname_8,fname_9,fname_10
someone is chopping something on a very hard surface ,Chopping of vegetables and fruit - knife on cutting board.wav,Mascara.wav,Tortured Apple 02.wav,DVD Cases.wav,various slap takes.wav,playing chess.wav,Setting Class on Table_02-01.wav,Zipper sounds.wav,cigarette_lighter.wav,Ball bouncing.wav
the growls and breath of a small animal ,Cat Meow and Purr.wav,Before-After Remix of 53263__stomachache__pterodactyl.wav,Chewing_Fx.wav,cat food.wav,md1trk13.wav,Vocal Strain - Unprocessed.wav,grilla_garden_ambience.wav,Help Me.wav,Fake Wind - Blowing into the Mic - 30 sec.wav,Drinking Water and refreshing sigh.wav
an ice-cream van is crossing the street making bell noise ,openingdome.wav,tram turn.wav,Elevator Arrives.wav,DH12_141Tram1.wav,110719_glasgowdemolish.wav,tram_night_crossroad_stop_go_02.wav,WineGlass.wav,toy_tower.wav,lift_relais.wav,ambiant hangar sound.wav
a person is trying to make the dry leaves to powder using crusher ,HandsOnConcreteWithDirt.wav,Tissue Paper .wav,Melon Stabs (Juicy).wav,Paper_Tear_Fx.wav,plastic foil (outdoor recording).wav,pepper grinder.wav,Plastic bag crumple.wav,Talll Grass Hits 2.wav,Pills .wav,envelope.wav
a motorcycle starts its engine and drives off ,CarStart Idle Rev.wav,motors-moteurs.wav,WASHER machine 2.wav,Motor bikes passing by.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,20100220.concentration.00.wav,City Traffic (Outdoor).wav,FP_Diesel_Tractor_Start_Run.wav,Engine Reving.wav,Boulevard with motorbike.wav
many different species of birds are chirping while a truck idles in the background ,Birds over Brooklyn.wav,The Commons.wav,004-Ambient Recording at Saint-Augustin (FR 7pm in October).wav,Sk310308 chaffinch crow.wav,Small italian village - Quite afternoon.wav,AMB_CityPark_Day_Seagull_People.wav,09-07-15_2053_Small place near metro station Faria Guimaraes in the evening.wav,Neighbourhood Ambiance.wav,Amphitheatre Birds Wav.wav,ambient_sound.wav
church bells are ringing in a sequence to mark the time ,Lisbon&#39;s church.wav,20060730.bells.wav,church bell_ljubljana.wav,20101118.omnium.sanctorum.wav,20090419.san.pedro.bells.wav,Marble Church.wav,Carillon Servaas Church 100411.wav,1167church_clock_striking_ten.wav,Inside Servaas Church 01 100411.wav,More Bells.wav
rain is coming heavily with thunder and the water is flowing on the road ,20130406_nasty.weather.09.wav,thunderstorm_4.wav,inicio.wav,20070610.thunder.wav,Rain In The City.wav,Rain 02 091012.wav,Heavy Rain tin roof.wav,thunder_nl.wav,20100110.rain.marshes.wav,sw_thunder_03.wav
a toolbox is being rattled around with items inside ,"Iron gate, street.wav",Twist Off Bottle Cap.wav,weights rope.wav,Dropping and Putting Down of Keys.wav,ouverture-contenair_1.wav,Sound_FX_Kitchen_Kniifes and forks.wav,md3trk14.wav,SOUND1_sodapop_VONT01_1.wav,object falls on wood.wav,Metal coat hanger on steel hook.wav
many people are chatting while the registers are beeping ,Public Place Children Indoors.wav,Grocery Shop Atmos.wav,Busy Drug Store.wav,16 coffee shop ambience.wav,160718 HSN spanish fish market.wav,SR005F.wav,Train Luzern-Engelberg.wav,Kurla local train station Mumbai (1).wav,shopper_atmos.wav,begin-metro-BCN.wav
a person crushes snow with their boots as they walk ,footsteps_pebble_each_01.wav,walking 1.wav,Footsteps on Slushy Cement.wav,walk_hard_snow.wav,Footsteps on Crunchy Snow.wav,Footsteps Dirt 02.wav,20060129.scrub.04.wav,24 hn_footstepsSneakerConcreteSnow.wav,Brushing Hair.wav,footsteps in woods.wav
wind chimes are blowing in the wind making music and birds are chirping ,copper-chimes.wav,church_bell_song.wav,1_ambiente inicio.wav,Windchimes + Neighborhood Mutt.wav,"Insects in the herbs of the plain, thunders in background.wav",Amphitheatre Birds Wav.wav,Birds and Nature.wav,Rain And Birds Chirping Krucifix Productions Sound Effects.wav,20060607.bird.gone.nuts.wav,00213 train signal bird and rain.wav
a truck drives by while a woman speaks in the background ,Traffic Karl-Liebknechtstrasse 111223.wav,130916 General Paz y Panamericana.wav,London Bus.wav,BangkokMarket.wav,Place Pigalle ambience Paris.wav,Parada de buses UCA_1.wav,cape taxi radio.wav,bkkairport01.wav,Street scene in Bangkok.wav,Kurla local train station Mumbai (2).wav
children and adults talk with each other positively and laugh ,people_sitting_by_fire.wav,Kids GardenHose 130723_02.wav,Clidren_joke_fun.wav,city park Tel Aviv.wav,VillageLaughter1.wav,Binnenrotte market live 100309.wav,firenze_kids_churchyard.wav,Twee dozen aardbeien.wav,platform.wav,stanley_and_reese_bath_03.wav
the wind is blowing in a steady gust until it dissipates ,volcanoeruption.wav,Ambience of the battle field2.wav,thunder wind 02.wav,Synth Wind.wav,TASCAM_0337.wav,Ambiance1.wav,Inside a train 2.wav,Mouth Wind Howling.wav,thunder002.wav,Synthetic Thunderstorm.wav
a fire is burning outside during a quite night ,20081231.fire.02.wav,13_Rain_onGrassStone_Gutter_44_16.wav,leaves_on_the_wind.wav,Fire Crackle with Roaring Chimney.wav,rockonice.wav,ICE55.wav,"Wind in a tree, close to the foliage.wav",20100110.rain.marshes.wav,earthkiller background 1.wav,preparing fire at the picnic.wav
bell is ringing in a church with certain time intervals ,church bell_ljubljana.wav,Lisbon&#39;s church.wav,20101118.omnium.sanctorum.wav,Marble Church.wav,20060730.bells.wav,20090419.san.pedro.bells.wav,1167church_clock_striking_ten.wav,Inside Servaas Church 01 100411.wav,More Bells.wav,Carillon Servaas Church 100411.wav
a pot is hit with a plastic pen ,clang_metal_(hit).wav,abandoned-ballroom-objects-wood-metal.wav,clunks_in_water.wav,trolley wheels foley-mg.wav,Stones sound.wav,Knife hit on Bread Board.wav,Gas Door.wav,DVD Cases.wav,d0_drips_01.wav,opening and swallowing pills.wav
beating fast to an object and it would be nail and hammer ,kettle-watergong2.wav,abandoned-ballroom-objects-wood-metal.wav,Ball bouncing.wav,Door pounding - increasing intensity.wav,window rapping.wav,trolley wheels foley-mg.wav,echo_ljubljana_castle.wav,clang_metal_(hit).wav,timber.wav,kettle-watergong3.wav
slogan chanting is going on along with surrounding noise ,wien_demo.wav,"Call to Prayer, Old Dehli.wav",Oxford Cambridge boat race 2010.wav,ChurchProcession.wav,20110212_mercado.05.wav,ending.applause.wav,Datse Match - Bhutan.wav,Portugese Fish Market.wav,korea_flohmarkt.wav,Kamp Zeist.wav
a person runs pants and snorts while birds chirp in the background ,cleaning_fridge.wav,horse in woods 130213_00.wav,3 persons walking slowly on grass noisy ambient 2.wav,redbarn_feeding-horses.wav,20060129.scrub.04.wav,Tokyo-cicadas.wav,Ambience - Freerange Birds - 96kHzsdasd.wav,Fake Wind - Blowing into the Mic - 30 sec.wav,walking 1.wav,COUNTRY-farm-yard.wav
it is a dazzling loud of rain and it is not as much heavy ,Heavy Rain tin roof.wav,Stream 5 at Krka falls.wav,Rain 02 091012.wav,Wasserfall 2.wav,TONE pink noise  44.1 16bit.wav,Waterfalls_00212.wav,White Water.wav,Wind in trees-force8-night.wav,Rain In The City.wav,forestandocean.wav
static feedback with several loud thumps in the background ,Electromagnetic Waves on a Macbook Pro.wav,dub1.wav,stereo noise experiment 130820.wav,novasound7100.wav,bitmapnoise3.wav,Track 06.wav,earthkiller background 1.wav,sdaviau2.wav,Door pounding - increasing intensity.wav,commercial vacuum.wav
some metal drums are being dragged across the floor ,20061111Band.wav,safe deposit box lock-unlock.wav,water jugs.wav,boxes_falling_down_stairs_01.wav,IRON_SLIDE.wav,Remove crashed glass.wav,foley noisy chair moving standing up different speed.wav,entering1.wav,Ambience_hurricane tube_low freq.wav,BERBER _SONG.wav
sandpaper makes a scratchy sound amid newspapers being moved and crumpled ,Washing short hair.wav,light.wav,Brushing Hair.wav,Cash Money sounds_fieldtapes.wav,fliping paper.wav,erasing 1.wav,HandsOnConcreteWithDirt.wav,envelope.wav,cleaning_fridge.wav,walking 1.wav
a clock pendulum swings back and forth consistently ,Analog Wall Clock.wav,DeLisa Foley clicky robot talk 02.wav,Old alarm clock (ticking and ringing).wav,SmallCarriageClockTicking.wav,Bell Ring.R.wav,Ripples.wav,Bell7.wav,THAI GONG3.wav,Marble Church.wav,templebell.wav
group of people enjoying their day at a party night ,Bar atmosphere - Not So Busy.wav,melo_juan_baja_fidelidad_estudiantes_insectos_lluvia.wav,Public Place.wav,110420-001_openair_cafe_karlsruhe_Schlosscafe.wav,UoA_PJ120202_HighStAlleyEch.wav,Busy Dining Room Atmos.wav,lachen.wav,jf Resonant Space.wav,Carmel Market.wav,Twee dozen aardbeien.wav
a boy talking in a public place with voices in the background ,Ambience outside a series of restaurants.wav,shopper_atmos.wav,people chatting background.wav,Antonio Casquez - Canvis.wav,UoA_Kcq_voices2_120224.wav,Mall Ambient.wav,indoors house ambient living room tone distant neighbours and traffic.wav,Guitar Center employees self-recording 24 bit.wav,Portugese Fish Market.wav,city town Havana afternoon balcony.wav
bacon pops and sizzles in a pan while liquid is splashing ,Grill.wav,Pork sausage.wav,drainage pipe running.wav,Oil sizzling.wav,Filling Teapot.wav,Taps in the Bath.wav,AlexandreJourdan_2013_s2.wav,water_sink.wav,Tap_Water.wav,lavar platos.wav
a car engine is turned on and makes a slow deep sound that turns into a faster higher pitch sound ,CarStart Idle Rev.wav,Interference3.wav,WASHER machine 2.wav,Motor bikes passing by.wav,Espresso Machine.wav,97315__Robinhood76__01706_wounded_jungle_animal_Before-After.wav,kitchen refrigerator working.wav,Diesel truck and small car.wav,Gong mf2.wav,Engine Reving.wav
many people are having some conversations while a baby cries in the background ,Mall Ambient.wav,city park Tel Aviv.wav,Twee dozen aardbeien.wav,GORAZD_0075_Omori_Pachinko.wav,firenze_kids_churchyard.wav,Binnenrotte market live 100309.wav,PS3F_FOZ_centro_Mufato_anuncio2_tarde.wav,market1.wav,people_sitting_by_fire.wav,SR005F.wav
it is be the rain slows down and the water drops fall down ,Rain_Patter_01.wav,Rain In The City.wav,Heavy wind and rain.wav,StreamPTDMos.wav,Stream trickling with small waterfall close by.wav,Rain 02 091012.wav,WATER SHOWER 001.wav,Waterfalls_00212.wav,Heavy Rain tin roof.wav,Water on tarp 2.wav
someone is walking through snow then they kick the snow off there shoes and then walk in the snow again ,footsteps_pebble_each_01.wav,Brushing Hair.wav,24 hn_footstepsSneakerConcreteSnow.wav,Footsteps on Slushy Cement.wav,walking 1.wav,backpack.wav,HeavySkirtMovement.wav,Footsteps on Wood floor 1.wav,Walking Downstairs.wav,Footsteps Dirt 02.wav
birds are chirping nicely and the children are playing ,city park Tel Aviv.wav,Kids GardenHose 130723_02.wav,Next To School in Street Ambience.wav,firenze_kids_churchyard.wav,09-07-15_2053_Small place near metro station Faria Guimaraes in the evening.wav,sparrows_berlin.wav,stenochscentre.wav,Zag.canon.eda.wav,noise pollution in a city park.wav,AMB_CityPark_Day_Seagull_People.wav
a high speed train is passing by from the train station without stopping at the station ,"Train Passing, A.wav",kamakura_train.wav,Train Plan V 090627.wav,"Train Passing, Close, Left to Right, B.wav",train11.wav,Train Mill Hill v1.wav,HarzTrain.wav,"Amtrak Crescent and Commuter Train, Left to Right.wav",Moscow metro journey.wav,md9trk2.wav
a rooster is crowing multiple times and flapping its wings ,chickens in coop.wav,birdies.wav,20060607.bird.gone.nuts.wav,grilla_garden_ambience.wav,Birds_Singing.wav,crows and owl.wav,single bird.wav,20110423_distant.cuckoo.wav,Sk310308 chaffinch crow.wav,20070424.footsteps.wav
a group of men chanting and talking together ,Datse Match - Bhutan.wav,korea_flohmarkt.wav,ChurchProcession.wav,Portugese Fish Market.wav,wien_demo.wav,Letter B BINGO in Arlington Heights.wav,Busy Dining Room Atmos.wav,Carmel Market.wav,"Football Practice Huddle, Pad Hits &amp; Sack.wav",meeting singing on boat - galilee.wav
tap water is flowing into a container from fast to slow motion ,gully with water drips.wav,lavar platos.wav,sink1.wav,Tap_Water.wav,Peeing into toilet.wav,WATER DRIP 2 ECHO LOW PITCH.wav,tub faucet and drain.wav,Water_Falling_Bathtub_Drain.wav,Dribbling water Edited.wav,"Water - Leak, small.wav"
a person is starting the vehicle and moves it ,LR FRONT_INT CAR DOOR SHUT MVT cricket eve.wav,night_station.wav,FP_Diesel_Tractor_Start_Run.wav,windscreen wipers light rain.wav,London Bus.wav,dumpster truck.wav,Machine.wav,ouverture-contenair_1.wav,Getting Into Car and Driving Away.wav,Bus sound.wav
water pours into a container at an inconstant rate ,gully with water drips.wav,WATER DRIP 2 ECHO LOW PITCH.wav,Running water 20121021T2335.wav,"Water - Leak, small.wav",Plastic Rain Barrel short.wav,Dropping water.wav,gootsteen.wav,water dispenser.wav,WaterRunning.wav,Plastic Rain Barrel long.wav
paper is slid across something and then folded and then the process repeats ,Cash Money sounds_fieldtapes.wav,fliping paper.wav,CD Case.wav,Booklet_-_Leaf_through_02_L_Close_R_Distant.wav,Paper_Tear_Fx.wav,Washing short hair.wav,bread_in_toaster.wav,Brushing Hair.wav,Match being lit.wav,Cutting paper.wav
a train coming down the track getting louder and louder ,kamakura_train.wav,HarzTrain.wav,train11.wav,Train Plan V 090627.wav,Train Passing Grade Crossing.wav,F-1-race-cars-restart-1stLap-Turn11-DR081.wav,"Amtrak Crescent and Commuter Train, Left to Right.wav",TREIN3.wav,"Train Passing, A.wav",Moscow metro journey.wav
wind chimes are blowing and jangling against each other ,copper-chimes.wav,Windchimes + Neighborhood Mutt.wav,1_ambiente inicio.wav,cowbells1.wav,metallic_crackle.wav,Bell Ring.R.wav,Doorsbell.wav,Wine glass hits.wav,metal-bowl-long-decay.wav,templebell.wav
the helicopter is starting to get ready for a flight ,Helicopter Landing.wav,reenactment4.wav,airshow_2.wav,"Helicopter interior, no rotor.wav",WASHER machine 2.wav,City Traffic (Outdoor).wav,Track 06.wav,departing_train.wav,engine boat passing by.wav,WasherEndWashCycleStartSpinCycle.wav
a man is quickly urinating in the toilet bowl ,Toilet 2.wav,FLUSH .wav,Plastic Rain Barrel long.wav,Toilet Flush Krucifix Productions Sound Effects.wav,nxSample015.wav,gootsteen.wav,150209 Trevor Webb Teeth Brushing.wav,Dropping water.wav,"Toilet flushing, water filling bowl.wav",water blups.wav
a person is opening and closing the zip from the bag ,fliping paper.wav,zippers02.wav,walk_hard_snow.wav,Zipper sounds.wav,Paper_Tear_Fx.wav,Match being lit.wav,backpack.wav,Brushing Hair.wav,HeavySkirtMovement.wav,Melon Stabs (Juicy).wav
someone walking then a few beeping noises and people talking ,steps in the station.wav,20091217.20.pedestrians.wav,Grocery Shop Atmos.wav,Footsteps on Wood floor 1.wav,maastricht town sounds.wav,UoA_Kcq_voices2_120224.wav,SR005F.wav,elevator 001.wav,horse in woods 130213_00.wav,UoA_PJ120202_HighStAlleyEch.wav
a motor engine rumbles slowly then quickly then slowing as a belt chirps in the background ,11_car_radio.wav,graveylargo.wav,ATV foley &amp; drive in woods - Reverberant [ST].wav,washing_machine_beginning.wav,soft-motor-wobble.wav,FP_Diesel_Tractor_Start_Run.wav,arrancada i aturada de la moto.wav,bath room fan.wav,Passing Tractor.wav,CarStart Idle Rev.wav
a man reads a story in a loud robotic monotone drone becoming very robotic at the end ,POTATO_CHIP_BAG OPEN.wav,Street Interview.wav,Robot Overlords Monologue.wav,acent.wav,Scratching Hair.wav,Clothing Rubbing Foley Sound.wav,Guitar Center employees self-recording 24 bit.wav,Street Interview - shorter version.wav,Antonio Casquez - Canvis.wav,elvis_radio_announcer_no_static.wav
papers from a binder are being flipped through while the binder taps the desk ,Cash Money sounds_fieldtapes.wav,Booklet_-_Leaf_through_02_L_Close_R_Distant.wav,CD Case.wav,Page_Turning_Fx.wav,Booklet_-_Throwing_down_on_wood_03_L_Close_R_Distant.wav,fliping paper.wav,Clothing Rubbing Foley Sound.wav,Match being lit.wav,Cutting paper.wav,Fire crackling.wav
someone is walking inside a shallow water continuously ,20110903_splashing.walk.wav,rbh Waves Lake Medium 01.wav,Waves at the edge of Bosphorus.wav,icesplashes3.wav,Footsteps Water 01.wav,CFX-20130331-UK-DorsetHarbour04.wav,20060129.scrub.04.wav,LakeWavesOct25th2015.wav,footsteps_pebble_each_01.wav,waves recording.wav
multiple birds chirp together outside during the day ,20110423_distant.cuckoo.wav,Spring Birds in Finnish forest.wav,Birds_Singing.wav,Budgies Chirping 2.wav,In an English Suburban Garden.wav,Sk310308 chaffinch crow.wav,birdies.wav,20060607.bird.gone.nuts.wav,20070628.casual.ambiance.wav,20080321.warbler.n.dogs.wav
tv is running loudly in someone's house playing a song ,fm-radio-tuning-sweeps.wav,Electromagnetic Waves on a Macbook Pro.wav,Midnight Clock.wav,Track 06.wav,Daaaark.wav,dog howl in woods.wav,dremmel-noise2.wav,Espresso Machine.wav,Elevator Arrives.wav,sd_coffee3.wav
a flat plane slides on a wood surface and comes to a thudding stop several times ,Fly Spray 4X Slow.wav,fist bang 2.wav,RowanMagennis_160019_SD100_DeadBodyHitsWoodenFloor.wav,150209 Trevor Webb Snooker.wav,hits_bathroomStomp.wav,20150712_underground.parking.wav,14-Nails Scratching-consolidated.wav,Drawers.wav,settingdownglassbottle.wav,Travers.wav
a person plays a white noise machine of rain hitting a window and pauses it several times ,radio_am_01.wav,Windermere Ferry Door Closing.wav,raindrops on metal_police background.wav,Rain Drip With Bird.wav,bright_wind.wav,strange wind 03.wav,WOF_slots5.wav,20110823_mountain.01.wav,satellite receiving busy signal.wav,copper-chimes.wav
